TS ID,TS Name,TS Location,Limits Number,Limits Version,Job Order,Programming Lot,Lot Number,Product Number,Product Expiry,Product Firmware Description,Software Number,Software Version
EQ1000004-6,CEQ0175,EPL-AR1-Line1,D1012493,1.9,6171-ASM-00000508,21194-345,21194-345,M1000226,2022-09-30,F1000227 COVID Ag,D1012492,1.3.7902.16339

Team Lead,Operator,Start,Finish,Serial,Host Serial,Index,Passed,Time,Firmware Test,MAC,Time,Serial Test,Time,Self-Test Test,Result,Unloaded3V3,Loaded3V3,Unloaded6V,Loaded6V,T1Freq,T1Cur,T2Freq,T2Cur,TDFreq,C1Freq,C2Freq,Time,Program Test,Time,Batch Test,Time,Bluetooth Test,RSSI,MAC,Time,LED Test,CurrentBase,CurrentG,CurrentR,Time,Button Test,Time,Metadata Test,Test Type,Version,Component,Batch,Sponsorship,Expiry,Firmware,Description,Time
RKAUL,MPAGTAMA,2021-09-21T14:58:13.3259287+10:00,2021-09-21T14:58:27.3252140+10:00,67605243,682823606,1,True,13999,True,E1:D9:B3:58:47:30,504,True,183,True,2,3042,2911,5591,4546,7751,3163,9147,2042,218,7850,8397,1367,True,6986,True,2315,True,-52,DB:E8:18:24:6C:AC,1045,True,3150,4775,5123,278,True,693,True,CovidHomeAg,4,N/A ,21194-345,Sponsored,2022-09-30,89.1.608,F1000227 COVID Ag,611
RKAUL,MPAGTAMA,2021-09-21T14:58:13.7510329+10:00,2021-09-21T14:58:27.6883648+10:00,67605244,682532557,2,True,13937,True,E1:D9:B3:58:47:30,548,True,139,True,2,3077,2954,5661,4675,8291,3195,7075,2058,316,7129,7948,1447,True,6785,True,2417,True,-57,EB:0B:E4:39:CA:18,1116,True,3071,4745,5112,143,True,690,True,CovidHomeAg,4,N/A ,21194-345,Sponsored,2022-09-30,89.1.608,F1000227 COVID Ag,643
RKAUL,MPAGTAMA,2021-09-21T14:58:29.8069740+10:00,2021-09-21T14:58:43.7623837+10:00,67605245,682314450,3,True,13955,True,FC:47:74:BC:2B:72,791,True,254,True,2,3076,2972,5629,4691,7405,3152,9660,2058,160,6707,7548,1092,True,6769,True,2400,True,-53,FA:F3:F6:5D:43:5A,892,True,3101,4824,4979,453,True,683,True,CovidHomeAg,4,N/A ,21194-345,Sponsored,2022-09-30,89.1.608,F1000227 COVID Ag,612
RKAUL,MPAGTAMA,2021-09-21T14:58:39.7214371+10:00,2021-09-21T14:58:54.5955937+10:00,67605246,682532557,2,True,14874,True,EB:F3:2F:A5:9A:59,2084,True,4,True,2,3110,3016,5768,4760,6608,3227,8376,2085,637,7883,7953,16,True,6740,True,2433,True,-54,EB:F3:2F:A5:9A:59,1803,True,3058,4595,4808,444,True,694,True,CovidHomeAg,4,N/A ,21194-345,Sponsored,2022-09-30,89.1.608,F1000227 COVID Ag,644
RKAUL,MPAGTAMA,2021-09-21T14:58:48.8288209+10:00,2021-09-21T14:59:03.3864920+10:00,67605247,682823606,1,True,14557,True,CD:F1:FB:40:03:F1,2345,True,5,True,2,3032,2895,5527,4535,6163,3136,8290,2031,83,6938,8141,14,True,6729,True,2427,True,-53,CD:F1:FB:40:03:F1,1276,True,2996,4700,4893,424,True,686,True,CovidHomeAg,4,N/A ,21194-345,Sponsored,2022-09-30,89.1.608,F1000227 COVID Ag,643
RKAUL,MPAGTAMA,2021-09-21T14:59:02.8913492+10:00,2021-09-21T14:59:18.2468228+10:00,67605248,682532557,2,True,15355,True,D8:6A:52:4A:64:3B,2294,True,4,True,2,3047,2962,5575,4637,9232,3179,11396,2053,458,7745,7847,14,True,6723,True,2426,True,-55,D8:6A:52:4A:64:3B,1760,True,3046,4670,4932,502,True,687,True,CovidHomeAg,4,N/A ,21194-345,Sponsored,2022-09-30,89.1.608,F1000227 COVID Ag,939
RKAUL,MPAGTAMA,2021-09-21T14:59:12.9289552+10:00,2021-09-21T14:59:26.7452774+10:00,67605249,682314450,3,True,13816,True,FA:3D:70:6C:87:85,1967,True,4,True,2,3096,2982,5699,4734,7423,3189,8498,2090,432,7968,8371,15,True,6872,True,2323,True,-54,FA:3D:70:6C:87:85,1102,True,3108,4838,5209,227,True,678,True,CovidHomeAg,4,N/A ,21194-345,Sponsored,2022-09-30,89.1.608,F1000227 COVID Ag,612
RKAUL,MPAGTAMA,2021-09-21T14:59:19.0944451+10:00,2021-09-21T14:59:32.7054696+10:00,67605250,682823606,1,True,13611,True,E9:CD:4D:C3:28:D1,1947,True,48,True,2,3075,2961,5666,4669,4076,3168,8002,2021,222,6908,7060,76,True,6684,True,2330,True,-54,EE:85:16:F2:F4:A9,960,True,3041,4753,4964,369,True,576,True,CovidHomeAg,4,N/A ,21194-345,Sponsored,2022-09-30,89.1.608,F1000227 COVID Ag,611
RKAUL,MPAGTAMA,2021-09-21T14:59:55.8729052+10:00,2021-09-21T15:00:09.7071947+10:00,67605251,682532557,2,True,13834,True,C8:C6:98:02:87:42,1611,True,415,True,2,3066,2932,5607,4535,9198,3152,7472,2015,150,7537,7562,75,True,6729,True,2360,True,-55,E7:6A:C1:70:78:77,1143,True,3028,4750,5000,177,True,700,True,CovidHomeAg,4,N/A ,21194-345,Sponsored,2022-09-30,89.1.608,F1000227 COVID Ag,611
RKAUL,MPAGTAMA,2021-09-21T14:59:56.3719193+10:00,2021-09-21T15:00:10.2012071+10:00,67605252,682823606,1,True,13829,True,EC:26:0D:21:C0:86,2105,True,5,True,2,3055,2931,5586,4594,6509,3147,8026,2026,235,7734,8223,12,True,6735,True,2323,True,-53,EC:26:0D:21:C0:86,1098,True,3160,4781,5091,233,True,680,True,CovidHomeAg,4,N/A ,21194-345,Sponsored,2022-09-30,89.1.608,F1000227 COVID Ag,612
